ID;Reading_Time;Main_Idea;Key_Points;Relevant_Info;Global_Comprehension;MI_CAL_ERR;KP_CAL_ERR;RI_CAL_ERR;Calibration_Bias;Medium;Word_Reading_Ability;Working_Memory;Reading_Comprehension;Prior_Knowledge;Topic_Interest;Medium_Preference;Medium_Preference_Study;Gender;AGE;NATIONALITY;MYID;medium;CLASS;SCHOOL
GAE7DB;552,54;1;0;1;2;4,67;8;7;6,56;C;39;3;20;2;35,5;2;1;2;13,58;1;45;1;3;S
AIC7DB;348,36;0,5;0;2;2,5;0,33;1;0;0,44;C;58;2;19;1,13;20;2;2;1;13,25;1;46;1;3;S
GAC7DB;292,2;0,5;0;5;5,5;3,33;6;1;3,44;C;48;2;21;0,75;21;1;1;2;13,75;1;47;1;3;S
SIC7DB;364,81;0,5;2;6;8,5;5,33;2;2;3,11;C;59;3;18;1,38;32;2;1;1;13,58;1;48;1;3;S
LAK7DB;486,43;1;0;5;6;3,67;10;5;6,22;C;26;3;16;0,75;34,5;2;1;2;13,08;1;49;1;3;S
MIE7DB;438,97;1;1;2;4;2,67;4,5;4;3,72;C;40;2;11;0,5;23;1;1;1;13,25;1;50;1;3;S
AIN6DB*;330,51;0,5;0;3;3,5;1,33;3;-1;1,11;C;48;2;14;0,75;20,5;2;3;2;14,75;3;51;1;3;S
ANR7DB;326,19;0,5;0;4;4,5;3,33;4;0;2,44;C;59;3;13;1,13;34,5;2;1;2;13,33;1;52;1;3;S
DIN7DB;449,41;0,5;0;0;0,5;1,33;5;1;2,44;C;33;2;12;0,63;24,5;1;2;2;13;1;53;1;3;S
FAE7DB;267,97;0,5;0;5;5,5;8,33;6;-1;4,44;C;59;5;17;0,5;20,5;2;1;1;13,08;1;54;1;3;S
AAT7DC;924,66;1;2;4;7;4,67;4;4;4,22;C;59;2;20;1,25;38,5;2;1;2;13,67;1;55;1;4;S
AAR7DC;539,69;0,5;0;0;0,5;5,33;6;1;4,11;C;38;2;17;1,25;30,5;2;2;1;13,33;1;56;1;4;S
AAI8DC;948,19;0,5;1;4;5,5;2,33;2,5;-3;0,61;C;59;3;14;0,88;39;1;1;2;12,83;1;57;1;4;S
FAB7DC;489,27;1;0;5;6;3,67;6;-1;2,89;C;45;2;20;1,75;35;2;1;1;13,75;1;58;1;4;S
DAE7DC;629,06;0,5;0;7;7,5;6,33;8;2;5,44;C;46;3;16;1;32,5;2;1;2;13,17;1;59;1;4;S
SIR7DC;896,94;0,5;2;7;9,5;8,33;4;2;4,78;C;49;3;19;2;32,5;2;1;2;13,17;1;60;1;4;S
DNT7DC;613,54;0,5;1;7;8,5;5,33;4,5;1;3,61;C;54;3;18;1,5;33;2;1;2;13,5;1;61;1;4;S
NAT7DC;918,27;1;0;5;6;-2,33;9;2;2,89;C;42;2;14;0,63;35,5;1;1;1;13,75;1;62;1;4;S
SAU7DC*;882,35;1,5;0;5;6,5;3;7;-3;2,33;C;35;2;14;0,88;33,5;1;1;2;13,33;1;63;1;4;S
NRT7DC;872,54;1,5;0;7;8,5;4;5;3;4;C;60;2;19;0,88;29,5;2;1;2;12,5;1;64;1;4;S
NAY7DC*;834,37;0;0;1;1;9;0;9;6;C;31;2;14;2;36,5;2;2;1;13,75;5;65;1;4;S
NIO7DC;879,84;1,5;2;5;8,5;3;1;5;3;C;60;3;17;1,75;40;2;1;2;13,58;1;66;1;4;S
CNA7DC;794,52;0,5;1;4;5,5;3,33;4,5;4;3,94;C;30;3;18;1;33,5;2;2;1;13,75;1;67;1;4;S
GIU7DC;814,67;0,5;0;1;1,5;6,33;9;8;7,78;C;46;2;12;1;34;2;1;1;13,42;6;68;1;4;S
GAU7DC;459,83;0,5;1;3;4,5;4,33;4,5;5;4,61;C;59;3;17;0,75;31,5;1;1;2;13,08;1;69;1;4;S
MAR7DC*;621,61;0,5;1;3;4,5;7,33;5,5;5;5,94;C;26;2;10;1,25;35,5;3;1;1;13,42;1;70;1;4;S
DAU7DC;424,03;1;0;1;2;5,67;10;9;8,22;C;42;0;2;0,63;25,5;2;2;2;13,25;1;71;1;4;S
GET7DC;757,3;2;0;5;7;1,33;9;2;4,11;C;46;2;12;0,38;27,5;1;1;2;12,92;1;72;1;4;S
FOD8DC;777,08;2,5;0;4;6,5;-4,33;4;-1;-0,44;C;50;3;19;1,13;36,5;2;3;2;12,92;1;73;1;4;S
DNR7DC;368,06;1,5;0;4;5,5;1;2;6;3;C;48;2;14;0,75;36;2;1;2;13,5;1;74;1;4;S
FRO7DC;866,8;1,5;3;6;10,5;3;-0,5;1;1,17;C;52;5;21;1,75;32;3;1;1;13,67;1;75;1;4;S
AIU7DD;1134,88;1;0;4;5;4,67;7;4;5,22;C;28;0;18;2;38;3;1;2;13,75;1;76;1;5;S
GGJ6DD;1214,6;1;0;3;4;6,67;9;6;7,22;C;57;0;12;1,13;26;3;1;1;14,08;3;77;1;5;S
SEM7DD;1120,77;1;3;1;5;2,67;-2,5;5;1,72;C;36;3;16;1,75;32,5;3;1;2;13,17;1;78;1;5;S
GIL7DD;542;0,5;1;5;6,5;4,33;4,5;2;3,61;C;43;3;19;1,5;35,5;2;1;1;13,17;1;79;1;5;S
FRA7DD;704,28;1,5;1;4;6,5;4;6,5;4;4,83;C;48;2;17;1,88;37,5;1;1;2;13,83;5;80;1;5;S
PEI7DD*;512,57;1,5;0;0;1,5;2;7;1;3,33;C;15;0;18;1,25;35;3;3;1;13,42;1;81;1;5;S
SAN7DD*;959,53;0,5;0;1;1,5;3,33;7;6;5,44;C;22;0;7;2,38;31,5;1;3;2;13,08;1;82;1;5;S
MOD6DD;705,36;0,5;0;0;0,5;4,33;1;8;4,44;C;58;2;7;1,13;34,5;3;3;1;14,92;5;83;1;5;S
SNE7DD;754,4;1;0;6;7;2,67;7;2;3,89;C;52;2;17;2;36;3;1;2;13,17;1;84;1;5;S
ANF7DD;425,03;0,5;0;2;2,5;4,33;4;5;4,44;C;54;1;13;1,38;37,5;3;1;2;13,33;5;85;1;5;S
SLC7DD;968,79;2;1;2;5;2,33;6,5;6;4,94;C;47;2;16;1,25;34,5;2;1;1;13,58;1;86;1;5;S
MAE7DD;509,35;0,5;0;3;3,5;7,33;7;5;6,44;C;53;2;16;1,5;29,5;2;1;2;13,75;1;87;1;5;S
DAB7DD;531,59;0,5;0;1;1,5;7,33;8;6;7,11;C;37;2;15;0,5;33,5;1;1;1;12,92;1;88;1;5;S
EAM7DD;682,12;1,5;0;6;7,5;4;8;3;5;C;48;4;18;1,25;36;2;1;2;13;1;89;1;5;S
AOL7DD;964,56;1;2;4;7;4,67;3;2;3,22;C;60;4;20;2,25;31,5;2;1;1;12,92;1;90;1;5;S
SON7DD;321,31;0,5;0;2;2,5;3,33;6;5;4,78;C;59;2;16;2,13;35,5;2;1;1;13,17;1;91;1;5;S
MAB7DD;727,18;0,5;0;3;3,5;3,33;5;1;3,11;C;41;2;16;1,5;29;2;2;2;13,33;1;92;1;5;S
RAD7DD*;679,01;0,5;0;1;1,5;4,33;4;1;3,11;C;36;2;16;1,75;35,5;2;1;1;13,42;1;93;1;5;S
HIM7DD*;404,98;0,5;2;1;3,5;3,33;2;0;1,78;C;38;2;7;1,13;32;3;1;2;13,5;1;94;1;5;S
FIE7DD;692,31;2;0;4;6;0,33;8;5;4,44;C;52;2;16;2,25;39,5;1;1;1;13,5;1;95;1;5;S
RAR7DE;350,35;1,5;1;4;6,5;3;6,5;1;3,5;C;60;3;18;1;36,5;2;1;2;13,83;1;96;1;6;S
DCR7DE*;994,36;0,5;0;4;4,5;5,33;7;3;5,11;C;37;2;6;1;25,5;2;1;2;13,08;1;97;1;6;S
SLO7DE;312,6;0,5;2;2;4,5;5,33;3;5;4,44;C;42;2;15;1,38;26;2;1;1;13,5;1;98;1;6;S
EMO7DE;473,8;0,5;2;0;2,5;6,33;5;10;7,11;C;47;4;20;1,13;24;2;NA;1;13,42;1;99;1;6;S
LLD8DE;430,8;1;0;4;5;4,67;7;6;5,89;C;53;2;9;1,25;26,5;3;1;2;12,83;5;100;1;6;S
RML7DE;392,02;0,5;0;0;0,5;-0,67;1;6;2,11;C;17;2;4;0,25;24,5;NA;NA;1;13;1;101;1;6;S
JNX7DE;609,85;0,5;0;0;0,5;-0,67;1;1;0,44;C;54;2;15;0,5;26;2;1;2;13;9;102;1;6;S
GNA7DE*;453,61;0,5;0;4;4,5;5,33;8;6;6,44;C;32;0;12;1,38;28,5;1;1;2;13,92;1;103;1;6;S
MIY7DE;430,45;0,5;1;3;4,5;2,33;0,5;6;2,94;C;56;3;14;1,25;24;2;1;1;13,75;1;104;1;6;S
FAL7DE;482,32;1;1;5;7;5,67;5,5;4;5,06;C;54;2;20;0,88;21,5;3;3;1;13,25;1;105;1;6;S
MIV7DE;450,93;1;0;4;5;4,67;7;5;5,56;C;55;3;15;0,75;29,5;2;1;1;13,17;3;106;1;6;S
GAR7DE;515,08;0,5;0;4;4,5;5,33;6;2;4,44;C;47;2;17;1,5;37;1;1;2;13,42;1;107;1;6;S
BRA7DE;611,86;1,5;2;0;3,5;-1;-3;1;-1;C;36;3;17;1,25;33,5;2;1;2;13,75;5;108;1;6;S
AII7DE;778,02;0,5;2;2;4,5;6,33;0;7;4,44;C;33;2;18;2,13;38,5;1;1;2;13,75;1;109;1;6;S
PHR7DE*;449,45;0,5;0;0;0,5;4,33;9;5;6,11;C;45;2;9;0,13;24;2;1;1;13,08;1;110;1;6;S
GAC6DE;363,25;0,5;0;1;1,5;5,33;1;8;4,78;C;34;2;12;0,88;23;1;3;2;14;2;111;1;6;S
MTT7DE;596,83;0,5;0;4;4,5;3,33;5;3;3,78;C;33;2;15;1,13;28,5;2;2;1;13;1;112;1;6;S
MEE7DE;495,27;0,5;0;0;0,5;6,33;7;9;7,44;C;44;2;12;1;28,5;1;1;1;13,75;1;113;1;6;S
WLA7DE;542,72;1;0;2;3;1,67;7;8;5,56;C;57;0;7;2,13;28,5;2;1;1;13;1;114;1;6;S
AAY7DE;510,91;0,5;0;4;4,5;7,33;8;5;6,78;C;35;3;9;0,75;29,5;3;3;2;13,17;7;115;1;6;S
ALR7DE;320,18;0,5;0;1;1,5;6,33;10;9;8,44;C;39;2;17;1,75;33,5;2;1;2;13,67;1;116;1;6;S
MAH7PA*;553,7;0,5;2;3;5,5;3,33;0;2;1,78;C;31;2;9;0,38;36;2;1;1;14,33;1;117;1;7;P
MIO7PA;494,44;1;0;2;3;3,67;7;6;5,56;C;53;2;13;1,13;36,5;1;2;2;13,67;1;118;1;7;P
NHM7PA;429,27;0,5;0;4;4,5;5,33;7;4;5,44;C;53;2;14;0,88;34,5;2;1;2;13,5;1;119;1;7;P
