ID;Reading_Time;Main_Idea;Key_Points;Relevant_Info;Global_Comprehension;MI_CAL_ERR;KP_CAL_ERR;RI_CAL_ERR;Calibration_Bias;Medium;Word_Reading_Ability;Working_Memory;Reading_Comprehension;Prior_Knowledge;Topic_Interest;Medium_Preference;Medium_Preference_Study;Gender;AGE;NATIONALITY;MYID;medium;CLASS;SCHOOL
AIC7DB;291,72;0,5;0;0;0,5;-0,67;1;1;0,44;D;58;2;19;1,13;20;2;2;1;13,25;1;46;0;3;S
GAC7DB;275,68;1;0;4;5;1,67;7;2;3,56;D;48;2;21;0,75;21;1;1;2;13,75;1;47;0;3;S
SIC7DB;442,07;1,5;1;0;2,5;3;4,5;7;4,83;D;59;3;18;1,38;32;2;1;1;13,58;1;48;0;3;S
LAK7DB;507,96;0,5;1;4;5,5;5,33;4,5;2;3,94;D;26;3;16;0,75;34,5;2;1;2;13,08;1;49;0;3;S
MIE7DB;282,74;0,5;0;3;3,5;4,33;8;6;6,11;D;40;2;11;0,5;23;1;1;1;13,25;1;50;0;3;S
AIN6DB*;566,05;0,5;0;1;1,5;1,33;4;3;2,78;D;48;2;14;0,75;20,5;2;3;2;14,75;3;51;0;3;S
ANR7DB;506,49;0,5;1;4;5,5;4,33;6,5;3;4,61;D;59;3;13;1,13;34,5;2;1;2;13,33;1;52;0;3;S
DIN7DB;527,57;0,5;0;0;0,5;3,33;3;1;2,44;D;33;2;12;0,63;24,5;1;2;2;13;1;53;0;3;S
FAE7DB;240,9;0,5;1;3;4,5;6,33;4,5;3;4,61;D;59;5;17;0,5;20,5;2;1;1;13,08;1;54;0;3;S
AAT7DC;1058,83;1,5;1;5;7,5;4;7,5;5;5,5;D;59;2;20;1,25;38,5;2;1;2;13,67;1;55;0;4;S
AAR7DC;583,38;0,5;0;1;1,5;5,33;8;4;5,78;D;38;2;17;1,25;30,5;2;2;1;13,33;1;56;0;4;S
AAI8DC;1188,11;1,5;1;4;6,5;1;1,5;-2;0,17;D;59;3;14;0,88;39;1;1;2;12,83;1;57;0;4;S
FAB7DC;569,21;1,5;0;5;6,5;1;4;2;2,33;D;45;2;20;1,75;35;2;1;1;13,75;1;58;0;4;S
DAE7DC;658,39;1,5;0;6;7,5;4;8;2;4,67;D;46;3;16;1;32,5;2;1;2;13,17;1;59;0;4;S
SIR7DC;1216,1;2,5;0;6;8,5;0,67;8;1;3,22;D;49;3;19;2;32,5;2;1;2;13,17;1;60;0;4;S
DNT7DC;1113,56;1,5;1;4;6,5;-1;1,5;-2;-0,5;D;54;3;18;1,5;33;2;1;2;13,5;1;61;0;4;S
NAT7DC;601,97;0,5;0;5;5,5;-0,67;9;0;2,78;D;42;2;14;0,63;35,5;1;1;1;13,75;1;62;0;4;S
SAU7DC*;621,44;1,5;0;3;4,5;2;8;3;4,33;D;35;2;14;0,88;33,5;1;1;2;13,33;1;63;0;4;S
NRT7DC;1085,18;2;2;5;9;1,33;3;4;2,78;D;60;2;19;0,88;29,5;2;1;2;12,5;1;64;0;4;S
NAY7DC*;326,5;1;0;3;4;6,67;6;6;6,22;D;31;2;14;2;36,5;2;2;1;13,75;5;65;0;4;S
NIO7DC;1078,92;0,5;2;3;5,5;4,33;1;5;3,44;D;60;3;17;1,75;40;2;1;2;13,58;1;66;0;4;S
CNA7DC;874,97;0,5;0;2;2,5;3,33;6;5;4,78;D;30;3;18;1;33,5;2;2;1;13,75;1;67;0;4;S
GIU7DC;573,05;0,5;0;0;0,5;6,33;8;9;7,78;D;46;2;12;1;34;2;1;1;13,42;6;68;0;4;S
GAU7DC;368,7;0,5;2;6;8,5;5,33;2;2;3,11;D;59;3;17;0,75;31,5;1;1;2;13,08;1;69;0;4;S
MAR7DC*;706,63;0,5;1;2;3,5;5,33;5,5;8;6,28;D;26;2;10;1,25;35,5;3;1;1;13,42;1;70;0;4;S
DAU7DC;270,91;0,5;0;1;1,5;5,33;9;3;5,78;D;42;0;2;0,63;25,5;2;2;2;13,25;1;71;0;4;S
GET7DC;934,44;1;0;4;5;4,67;7;3;4,89;D;46;2;12;0,38;27,5;1;1;2;12,92;1;72;0;4;S
FOD8DC;713,81;0,5;0;1;1,5;0,33;2;2;1,44;D;50;3;19;1,13;36,5;2;3;2;12,92;1;73;0;4;S
DNR7DC;316,61;0,5;1;3;4,5;8,33;2,5;7;5,94;D;48;2;14;0,75;36;2;1;2;13,5;1;74;0;4;S
FRO7DC;792,76;1,5;1;5;7,5;3;4,5;1;2,83;D;52;5;21;1,75;32;3;1;1;13,67;1;75;0;4;S
AIU7DD;884,5;0,5;1;5;6,5;6,33;5,5;4;5,28;D;28;0;18;2;38;3;1;2;13,75;1;76;0;5;S
GGJ6DD;913,54;0,5;0;4;4,5;6,33;10;3;6,44;D;57;0;12;1,13;26;3;1;1;14,08;3;77;0;5;S
SEM7DD;1003,29;0,5;0;4;4,5;5,33;6;2;4,44;D;36;3;16;1,75;32,5;3;1;2;13,17;1;78;0;5;S
GIL7DD;890,04;0,5;0;2;2,5;3,33;6;3;4,11;D;43;3;19;1,5;35,5;2;1;1;13,17;1;79;0;5;S
FRA7DD;730,33;0,5;0;3;3,5;6,33;8;4;6,11;D;48;2;17;1,88;37,5;1;1;2;13,83;5;80;0;5;S
PEI7DD*;662,84;0,5;0;0;0,5;6,33;8;1;5,11;D;15;0;18;1,25;35;3;3;1;13,42;1;81;0;5;S
SAN7DD*;892,18;0,5;0;0;0,5;4,33;6;5;5,11;D;22;0;7;2,38;31,5;1;3;2;13,08;1;82;0;5;S
MOD6DD;761,43;0,5;0;3;3,5;4,33;7;4;5,11;D;58;2;7;1,13;34,5;3;3;1;14,92;5;83;0;5;S
SNE7DD;826,9;1,5;2;6;9,5;2;1;0;1;D;52;2;17;2;36;3;1;2;13,17;1;84;0;5;S
ANF7DD;980,74;0,5;0;2;2,5;4,33;5;6;5,11;D;54;1;13;1,38;37,5;3;1;2;13,33;5;85;0;5;S
SLC7DD;1020,16;1,5;0;6;7,5;5;9;2;5,33;D;47;2;16;1,25;34,5;2;1;1;13,58;1;86;0;5;S
MAE7DD;879,71;0,5;0;2;2,5;6,33;8;6;6,78;D;53;2;16;1,5;29,5;2;1;2;13,75;1;87;0;5;S
DAB7DD;987,99;0,5;1;0;1,5;6,33;5,5;10;7,28;D;37;2;15;0,5;33,5;1;1;1;12,92;1;88;0;5;S
EAM7DD;812,74;0,5;0;3;3,5;6,33;8;6;6,78;D;48;4;18;1,25;36;2;1;2;13;1;89;0;5;S
AOL7DD;717,56;2,5;0;3;5,5;-1,33;8;5;3,89;D;60;4;20;2,25;31,5;2;1;1;12,92;1;90;0;5;S
SON7DD;644,45;1;0;1;2;3,67;7;5;5,22;D;59;2;16;2,13;35,5;2;1;1;13,17;1;91;0;5;S
MAB7DD;907,27;1;0;3;4;1,67;4;6;3,89;D;41;2;16;1,5;29;2;2;2;13,33;1;92;0;5;S
RAD7DD*;398,03;0,5;1;2;3,5;5,33;4,5;-1;2,94;D;36;2;16;1,75;35,5;2;1;1;13,42;1;93;0;5;S
HIM7DD*;891,5;0,5;0;3;3,5;7,33;5;2;4,78;D;38;2;7;1,13;32;3;1;2;13,5;1;94;0;5;S
FIE7DD;733,03;1;1;5;7;3,67;5,5;3;4,06;D;52;2;16;2,25;39,5;1;1;1;13,5;1;95;0;5;S
RAR7DE;466,81;1,5;0;3;4,5;1;8;6;5;D;60;3;18;1;36,5;2;1;2;13,83;1;96;0;6;S
DCR7DE*;827,02;0,5;1;2;3,5;6,33;4,5;7;5,94;D;37;2;6;1;25,5;2;1;2;13,08;1;97;0;6;S
SLO7DE;321,67;1;0;3;4;4,67;8;4;5,56;D;42;2;15;1,38;26;2;1;1;13,5;1;98;0;6;S
EMO7DE;568,92;0,5;2;5;7,5;7,33;5;3;5,11;D;47;4;20;1,13;24;2;NA;1;13,42;1;99;0;6;S
LLD8DE;390,64;1,5;0;1;2,5;4;8;5;5,67;D;53;2;9;1,25;26,5;3;1;2;12,83;5;100;0;6;S
RML7DE;364;0,5;0;0;0,5;5,33;6;6;5,78;D;17;2;4;0,25;24,5;NA;NA;1;13;1;101;0;6;S
JNX7DE;423,74;0,5;0;2;2,5;-0,67;1;-1;-0,22;D;54;2;15;0,5;26;2;1;2;13;9;102;0;6;S
GNA7DE*;478,23;0,5;1;4;5,5;6,33;5,5;4;5,28;D;32;0;12;1,38;28,5;1;1;2;13,92;1;103;0;6;S
MIY7DE;295,66;0,5;0;1;1,5;4,33;5;4;4,44;D;56;3;14;1,25;24;2;1;1;13,75;1;104;0;6;S
FAL7DE;619;0,5;1;2;3,5;5,33;6,5;6;5,94;D;54;2;20;0,88;21,5;3;3;1;13,25;1;105;0;6;S
MIV7DE;407,76;0,5;3;3;6,5;7,33;1,5;7;5,28;D;55;3;15;0,75;29,5;2;1;1;13,17;3;106;0;6;S
GAR7DE;568,22;0,5;1;3;4,5;4,33;3,5;5;4,28;D;47;2;17;1,5;37;1;1;2;13,42;1;107;0;6;S
BRA7DE;295,9;0,5;1;2;3,5;0,33;-1,5;3;0,61;D;36;3;17;1,25;33,5;2;1;2;13,75;5;108;0;6;S
AII7DE;756,76;0,5;0;1;1,5;7,33;6;8;7,11;D;33;2;18;2,13;38,5;1;1;2;13,75;1;109;0;6;S
PHR7DE*;361,04;0;0;0;0;7;4;3;4,67;D;45;2;9;0,13;24;2;1;1;13,08;1;110;0;6;S
GAC6DE;424,01;0,5;0;0;0,5;0,33;1;5;2,11;D;34;2;12;0,88;23;1;3;2;14;2;111;0;6;S
MTT7DE;774,22;1,5;1;1;3,5;2;2,5;5;3,17;D;33;2;15;1,13;28,5;2;2;1;13;1;112;0;6;S
MEE7DE;129,14;0,5;1;0;1,5;6,33;4,5;8;6,28;D;44;2;12;1;28,5;1;1;1;13,75;1;113;0;6;S
WLA7DE;281,97;0,5;0;1;1,5;1,33;4;6;3,78;D;57;0;7;2,13;28,5;2;1;1;13;1;114;0;6;S
AAY7DE;502,49;1;0;1;2;3,67;9;4;5,56;D;35;3;9;0,75;29,5;3;3;2;13,17;7;115;0;6;S
ALR7DE;331,41;0,5;0;4;4,5;4,33;9;4;5,78;D;39;2;17;1,75;33,5;2;1;2;13,67;1;116;0;6;S
MAH7PA*;279,21;0,5;0;2;2,5;3,33;5;3;3,78;D;31;2;9;0,38;36;2;1;1;14,33;1;117;0;7;P
MIO7PA;563,02;0,5;2;4;6,5;5,33;3;4;4,11;D;53;2;13;1,13;36,5;1;2;2;13,67;1;118;0;7;P
NHM7PA;657,67;1;0;2;3;4,67;4;6;4,89;D;53;2;14;0,88;34,5;2;1;2;13,5;1;119;0;7;P
MLR7PA;463,71;0,5;0;0;0,5;6,33;7;7;6,78;D;57;3;14;0,75;33;1;NA;1;13,83;1;120;0;7;P
UOF7PA;781,94;2;2;5;9;1,33;2;2;1,78;D;40;2;19;2;37,5;2;NA;2;13,67;1;121;0;7;P
MIT7PA;507,12;1,5;1;6;8,5;3;5,5;1;3,17;D;60;3;18;1,13;31;1;1;2;14;1;122;0;7;P
CAS7PA;292,32;1,5;0;2;3,5;1;3;4;2,67;D;59;2;13;0,38;32;1;2;2;13,83;6;123;0;7;P
FOB7PA;277,98;1,5;1;4;6,5;3;5,5;6;4,83;D;27;4;15;1,13;32,5;2;2;1;13,67;1;124;0;7;P
EOL6PA;741,96;1,5;1;6;8,5;2;5,5;0;2,5;D;60;3;18;1,5;34;2;1;2;14,5;7;125;0;7;P
GIS7PA;819,87;2,5;1;6;9,5;-0,33;5,5;3;2,72;D;42;3;18;1,88;38;2;1;2;13,75;1;126;0;7;P
YLS6CA;205,39;0,5;0;0;0,5;8,33;10;2;6,78;D;39;0;7;0,63;24,5;2;1;1;14,33;8;127;0;7;P
MIL7PA;659,84;1,5;0;4;5,5;2;6;4;4;D;37;2;16;1,5;37;1;1;2;13,67;1;128;0;7;P
KOB7PA;608,84;0,5;2;1;3,5;-0,67;-3;6;0,78;D;60;3;12;1,25;32;1;2;2;13,83;5;129;0;7;P
DLE7PA;339,89;2;0;1;3;-0,67;4;6;3,11;D;51;2;20;1;38,5;1;1;2;13,83;1;130;0;7;P
COC7PA;205,15;0,5;2;2;4,5;2,33;1;2;1,78;D;59;4;15;0,75;38,5;1;1;2;14,17;1;131;0;7;P
REV7PA;260,79;0,5;0;2;2,5;3,33;5;-1;2,44;D;60;4;17;1;26,5;2;2;1;14;1;132;0;7;P
MAA7PA;674,44;1,5;0;5;6,5;3;8;4;5;D;40;2;20;1,5;29,5;3;3;2;14;1;133;0;7;P
JRT7PA;672,11;1,5;1;3;5,5;3;4,5;3;3,5;D;33;2;17;0,5;16;2;2;2;13,5;4;134;0;7;P
MAD7PA;564,48;1;0;0;1;2,67;1;7;3,56;D;42;3;16;0,63;27,5;3;1;2;13,75;1;135;0;7;P
AOE7PC;295,18;1,5;2;1;4,5;3;3;6;4;D;39;4;21;2,5;36;2;2;2;14,33;1;136;0;8;P
IAI8PC*;193,98;0,5;1;0;1,5;7,33;5,5;4;5,61;D;33;2;12;0,88;21,5;2;2;2;13,42;6;137;0;8;P
GAR7PC;446,81;1;2;3;6;2,67;0;2;1,56;D;60;2;17;1,38;28,5;2;1;2;13,42;1;138;0;8;P
RAU7PC*;398,44;0,5;0;0;0,5;1,33;4;7;4,11;D;52;2;4;0,13;24,5;2;1;2;14,17;1;139;0;8;P
MEM7PC;443,3;0,5;0;1;1,5;5,33;6;1;4,11;D;34;2;3;0,13;23,5;2;1;1;13,83;1;140;0;8;P
AEO8PC;391,16;0,5;0;1;1,5;8,33;6;5;6,44;D;52;2;14;1,13;35;3;1;1;13,42;1;141;0;8;P
GRM7PC*;388,53;0,5;0;1;1,5;4,33;6;0;3,44;D;55;2;15;0,38;21,5;2;3;1;14,17;1;142;0;8;P
RAA7PC*;456,12;0,5;0;0;0,5;3,33;8;6;5,78;D;54;2;11;1,25;31,5;2;1;2;14,08;1;143;0;8;P
AEM7PC;342,88;0,5;0;4;4,5;4,33;7;1;4,11;D;49;2;12;0,38;27,5;1;1;2;14,08;1;144;0;8;P
AAR7PC;516,09;0,5;0;2;2,5;2,33;5;4;3,78;D;39;2;19;0,75;27;3;2;1;13,92;1;145;0;8;P
HII7PC;380,19;0,5;0;5;5,5;5,33;7;5;5,78;D;60;3;17;1,25;34,5;2;1;2;13,42;1;146;0;8;P
LRI7PC*;540,77;0,5;0;0;0,5;6,33;7;7;6,78;D;30;0;9;0,75;30,5;3;3;2;14,33;1;147;0;8;P
LAI7PC*;391,01;0,5;0;0;0,5;2,33;5;7;4,78;D;53;2;13;0,25;35,5;3;1;1;14,17;1;148;0;8;P
AIR7PC;475,79;0,5;1;6;7,5;5,33;3,5;-1;2,61;D;52;2;19;2,5;28,5;2;1;1;13,83;1;149;0;8;P
AET7PC;68,7;0,5;0;0;0,5;6,33;5;5;5,44;D;52;2;9;0,75;23;2;1;1;13,42;1;150;0;8;P
