"ID"	"Reading_Time"	"Main_Idea"	"Key_Points"	"Relevant_Info"	"Global_Comprehension"	"MI_CAL_ERR"	"KP_CAL_ERR"	"RI_CAL_ERR"	"Calibration_Bias"	"Medium"	"Word_Reading_Ability"	"Working_Memory"	"Reading_Comprehension"	"Prior_Knowledge"	"Topic_Interest"	"Medium_Preference"	"Medium_Preference_Study"	"Gender"	"AGE"	"NATIONALITY"	"MYID"	"medium"	"CLASS"	"SCHOOL"	"Reading_Comprehension_levels"
"LRI7PC*"	473.03	0.5	0	3	3.5	5.33	7	4	5.44	"Paper"	30	0	9	0.75	30.5	3	3	"Girls"	14.33	1	147	1	8	"P"	"Low"
"LAI7PC*"	499.59	0.5	0	0	0.5	0.33	1	1	0.78	"Paper"	53	2	13	0.25	35.5	3	1	"Boys"	14.17	1	148	1	8	"P"	"Intermediate"
"AIR7PC"	600.37	1.5	2	2	5.5	3	4	5	4	"Paper"	52	2	19	2.5	28.5	2	1	"Boys"	13.83	1	149	1	8	"P"	"High"
"AET7PC"	570.74	0.5	0	0	0.5	3.33	3	3	3.11	"Paper"	52	2	9	0.75	23	2	1	"Boys"	13.42	1	150	1	8	"P"	"Low"
"MIE7CA*"	273.71	0.5	0	0	0.5	5.33	9	3	5.78	"Digital"	26	0	4	0.5	27.5	3	1	"Boys"	13.67	1	1	0	1	"C"	"Low"
"GAE8CA"	619.58	0.5	0	0	0.5	5.33	5	2	4.11	"Digital"	35	2	9	0.63	29.5	2	2	"Boys"	13.75	1	2	0	1	"C"	"Low"
"MNT7CA"	398.02	1.5	0	5	6.5	3	8	2	4.33	"Digital"	53	3	17	0.88	36.5	2	1	"Girls"	13.67	1	3	0	1	"C"	"Intermediate"
"RAN7CA"	711.91	0.5	0	1	1.5	5.33	7	7	6.44	"Digital"	37	3	13	1.88	39.5	2	2	"Girls"	13	1	4	0	1	"C"	"Intermediate"
"MRI7CA"	728.04	1	1	4	6	4.67	5.5	4	4.72	"Digital"	35	3	9	0.88	38	2	1	"Girls"	13.42	1	5	0	1	"C"	"Low"
"SAA6CA"	349.82	0.5	0	1	1.5	6.33	2	7	5.11	"Digital"	53	3	17	0.75	19	2	2	"Boys"	14.92	1	6	0	1	"C"	"Intermediate"
"ELF7CA"	595.11	1.5	1	6	8.5	4	5.5	4	4.5	"Digital"	26	2	9	1.5	26	2	1	"Girls"	13.58	1	7	0	1	"C"	"Low"
"CAI7CA"	649	1	0	3	4	4.67	7	6	5.89	"Digital"	52	2	14	1.38	33.5	3	3	"Girls"	13.67	1	8	0	1	"C"	"Intermediate"
"CRO7CA"	271.91	1	0	1	2	4.67	7	9	6.89	"Digital"	60	2	23	2	32	2	1	"Girls"	13.42	1	9	0	1	"C"	"High"
"ELC7CA"	297.98	0.5	1	0	1.5	6.33	4.5	6	5.61	"Digital"	48	5	19	1.38	36	1	1	"Boys"	13.58	1	10	0	1	"C"	"High"
"FAA7CA"	385.1	1	0	2	3	1.67	7	4	4.22	"Digital"	37	3	10	1.88	34	2	1	"Girls"	13.5	1	11	0	1	"C"	"Low"
"DIE7CA"	677.85	0.5	2	2	4.5	4.33	1	3	2.78	"Digital"	56	3	12	0.88	25	1	3	"Boys"	12.92	1	12	0	1	"C"	"Low"
"POR7CA"	233.84	0.5	0	0	0.5	1.33	4	4	3.11	"Digital"	29	3	11	1	32.5	3	1	"Girls"	13.5	1	13	0	1	"C"	"Low"
"VLM7DA"	132.27	0.5	0	1	1.5	-0.67	1	1	0.44	"Digital"	39	0	3	0.63	28	2	2	"Girls"	13.42	1	14	0	2	"O"	"Low"
"SSR7DA"	338.57	1	0	5	6	0.67	5	-2	1.22	"Digital"	58	2	19	1.75	31.5	2	1	"Girls"	13.42	1	15	0	2	"O"	"High"
"EAI7DA*"	652.86	2	2	7	11	-0.67	3	1	1.11	"Digital"	45	3	22	1.75	36	1	1	"Girls"	13.17	1	16	0	2	"O"	"High"
"RLS7DA"	490.41	0.5	0	3	3.5	3.33	6	5	4.78	"Digital"	52	2	13	0.88	26.5	2	2	"Girls"	13.58	1	17	0	2	"O"	"Intermediate"
"CIE7DA"	616.78	0.5	1	3	4.5	6.33	4.5	3	4.61	"Digital"	51	2	16	0.25	40	2	3	"Girls"	13.25	2	18	0	2	"O"	"Intermediate"
"VLI8DA"	1339.74	0.5	1	7	8.5	1.33	4.5	0	1.94	"Digital"	41	2	13	0.88	27.5	1	1	"Girls"	12.75	1	19	0	2	"O"	"Intermediate"
"GAG7DA"	718.36	0.5	1	4	5.5	1.33	5.5	-2	1.61	"Digital"	35	0	11	1.5	26.5	2	1	"Girls"	13	1	20	0	2	"O"	"Low"
"FID8DA"	1021.69	0.5	0	5	5.5	4.33	7	-2	3.11	"Digital"	60	2	9	1.75	28	1	1	"Girls"	12.67	1	21	0	2	"O"	"Low"
"ELE7DA"	273.86	0.5	0	3	3.5	5.33	7	5	5.78	"Digital"	40	2	13	0.88	28.5	2	3	"Boys"	13.33	1	22	0	2	"O"	"Intermediate"
"DIE7DA"	209.66	0.5	0	3	3.5	7.33	9	5	7.11	"Digital"	59	3	19	0.75	30	3	3	"Boys"	13.67	1	23	0	2	"O"	"High"
"LRX7DA"	308.57	0.5	1	1	2.5	4.33	5.5	5	4.94	"Digital"	55	2	15	0.88	20.5	1	1	"Boys"	14	1	24	0	2	"O"	"Intermediate"
"LOT7DA"	158.04	0.5	3	0	3.5	4.33	-1.5	6	2.94	"Digital"	51	2	16	0.5	20	3	NA	"Boys"	13.08	1	25	0	2	"O"	"Intermediate"
"POO7DA"	736.08	0.5	3	5	8.5	6.33	0.5	3	3.28	"Digital"	48	3	12	1	29.5	3	3	"Girls"	13	1	26	0	2	"O"	"Low"
"FER7DA"	165.94	1	0	4	5	3.67	7	4	4.89	"Digital"	54	3	15	1.75	35.5	2	1	"Girls"	13.5	1	27	0	2	"O"	"Intermediate"
"DAE7DA"	535.2	0.5	2	4	6.5	5.33	2	3	3.44	"Digital"	52	3	17	0.88	26.5	3	3	"Girls"	13.25	1	28	0	2	"O"	"Intermediate"
"SEL7DA"	726.28	1.5	0	5	6.5	3	7	3	4.33	"Digital"	40	3	11	1.25	25	3	3	"Girls"	13	1	29	0	2	"O"	"Low"
"ERI7DA"	513.69	0.5	2	5	7.5	6.33	4	5	5.11	"Digital"	57	5	18	0.63	23.5	2	1	"Girls"	13.33	1	30	0	2	"O"	"Intermediate"
"MRA7DA"	464.77	0.5	1	3	4.5	5.33	5.5	6	5.61	"Digital"	57	4	15	1	35.5	1	1	"Girls"	13.5	1	31	0	2	"O"	"Intermediate"
"LIE7DB"	861.66	1.5	0	4	5.5	1	8	-1	2.67	"Digital"	56	2	15	1.25	33	2	1	"Girls"	13.58	4	32	0	3	"S"	"Intermediate"
"FAC7DB"	475.92	1	2	8	11	6.67	3	0	3.22	"Digital"	60	2	17	0.75	29	2	1	"Boys"	12.92	1	33	0	3	"S"	"Intermediate"
"ELC8DB"	718.28	0.5	0	4	4.5	4.33	4	-2	2.11	"Digital"	43	3	15	1.63	32	3	3	"Girls"	12.83	1	34	0	3	"S"	"Intermediate"
"MAA8DB"	144.45	0.5	0	2	2.5	5.33	8	5	6.11	"Digital"	50	3	20	2	36	1	1	"Girls"	12.92	1	35	0	3	"S"	"High"
"MDA7DB"	696.6	1	1	6	8	3.67	5.5	1	3.39	"Digital"	45	3	17	1.5	30	1	1	"Boys"	13.25	1	36	0	3	"S"	"Intermediate"
"CAM7DB"	324.8	0.5	0	3	3.5	8.33	4	-1	3.78	"Digital"	36	2	16	1	33.5	3	1	"Boys"	13.08	1	37	0	3	"S"	"Intermediate"
"RIM7DB*"	295.52	0.5	0	0	0.5	5.33	7	5	5.78	"Digital"	42	2	14	2	22	3	3	"Boys"	13.58	1	38	0	3	"S"	"Intermediate"
"ALE7DB"	358.88	0.5	0	4	4.5	6.33	6	5	5.78	"Digital"	54	3	11	1	31.5	2	1	"Girls"	13.25	3	39	0	3	"S"	"Low"
"RAV7DB"	265.81	0.5	0	2	2.5	5.33	7	5	5.78	"Digital"	47	3	12	0.38	17	2	1	"Boys"	13.08	1	40	0	3	"S"	"Low"
"RRR7DB"	381.09	0.5	0	4	4.5	5.33	8	3	5.44	"Digital"	45	3	19	1.13	27.5	3	1	"Girls"	13	1	41	0	3	"S"	"High"
"COA7DB"	306.36	0.5	1	0	1.5	7.33	6.5	10	7.94	"Digital"	24	3	10	1.75	21.5	2	2	"Boys"	13.17	1	42	0	3	"S"	"Low"
"PAR7DB"	417.54	0.5	0	5	5.5	5.33	6	5	5.44	"Digital"	51	4	19	0.88	35.5	3	3	"Girls"	13.75	1	43	0	3	"S"	"High"
"MRM7DB"	373.22	0.5	0	2	2.5	5.33	7	7	6.44	"Digital"	45	2	14	0.88	27.5	3	1	"Boys"	13.33	1	44	0	3	"S"	"Intermediate"
"GAE7DB"	610.43	1	0	5	6	4.67	8	4	5.56	"Digital"	39	3	20	2	35.5	2	1	"Girls"	13.58	1	45	0	3	"S"	"High"
"AIC7DB"	291.72	0.5	0	0	0.5	-0.67	1	1	0.44	"Digital"	58	2	19	1.13	20	2	2	"Boys"	13.25	1	46	0	3	"S"	"High"
"GAC7DB"	275.68	1	0	4	5	1.67	7	2	3.56	"Digital"	48	2	21	0.75	21	1	1	"Girls"	13.75	1	47	0	3	"S"	"High"
"SIC7DB"	442.07	1.5	1	0	2.5	3	4.5	7	4.83	"Digital"	59	3	18	1.38	32	2	1	"Boys"	13.58	1	48	0	3	"S"	"Intermediate"
"LAK7DB"	507.96	0.5	1	4	5.5	5.33	4.5	2	3.94	"Digital"	26	3	16	0.75	34.5	2	1	"Girls"	13.08	1	49	0	3	"S"	"Intermediate"
"MIE7DB"	282.74	0.5	0	3	3.5	4.33	8	6	6.11	"Digital"	40	2	11	0.5	23	1	1	"Boys"	13.25	1	50	0	3	"S"	"Low"
"AIN6DB*"	566.05	0.5	0	1	1.5	1.33	4	3	2.78	"Digital"	48	2	14	0.75	20.5	2	3	"Girls"	14.75	3	51	0	3	"S"	"Intermediate"
"ANR7DB"	506.49	0.5	1	4	5.5	4.33	6.5	3	4.61	"Digital"	59	3	13	1.13	34.5	2	1	"Girls"	13.33	1	52	0	3	"S"	"Intermediate"
"DIN7DB"	527.57	0.5	0	0	0.5	3.33	3	1	2.44	"Digital"	33	2	12	0.63	24.5	1	2	"Girls"	13	1	53	0	3	"S"	"Low"
"FAE7DB"	240.9	0.5	1	3	4.5	6.33	4.5	3	4.61	"Digital"	59	5	17	0.5	20.5	2	1	"Boys"	13.08	1	54	0	3	"S"	"Intermediate"
"AAT7DC"	1058.83	1.5	1	5	7.5	4	7.5	5	5.5	"Digital"	59	2	20	1.25	38.5	2	1	"Girls"	13.67	1	55	0	4	"S"	"High"
"AAR7DC"	583.38	0.5	0	1	1.5	5.33	8	4	5.78	"Digital"	38	2	17	1.25	30.5	2	2	"Boys"	13.33	1	56	0	4	"S"	"Intermediate"
"AAI8DC"	1188.11	1.5	1	4	6.5	1	1.5	-2	0.17	"Digital"	59	3	14	0.88	39	1	1	"Girls"	12.83	1	57	0	4	"S"	"Intermediate"
"FAB7DC"	569.21	1.5	0	5	6.5	1	4	2	2.33	"Digital"	45	2	20	1.75	35	2	1	"Boys"	13.75	1	58	0	4	"S"	"High"
"DAE7DC"	658.39	1.5	0	6	7.5	4	8	2	4.67	"Digital"	46	3	16	1	32.5	2	1	"Girls"	13.17	1	59	0	4	"S"	"Intermediate"
"SIR7DC"	1216.1	2.5	0	6	8.5	0.67	8	1	3.22	"Digital"	49	3	19	2	32.5	2	1	"Girls"	13.17	1	60	0	4	"S"	"High"
"DNT7DC"	1113.56	1.5	1	4	6.5	-1	1.5	-2	-0.5	"Digital"	54	3	18	1.5	33	2	1	"Girls"	13.5	1	61	0	4	"S"	"Intermediate"
"NAT7DC"	601.97	0.5	0	5	5.5	-0.67	9	0	2.78	"Digital"	42	2	14	0.63	35.5	1	1	"Boys"	13.75	1	62	0	4	"S"	"Intermediate"
"SAU7DC*"	621.44	1.5	0	3	4.5	2	8	3	4.33	"Digital"	35	2	14	0.88	33.5	1	1	"Girls"	13.33	1	63	0	4	"S"	"Intermediate"
"NRT7DC"	1085.18	2	2	5	9	1.33	3	4	2.78	"Digital"	60	2	19	0.88	29.5	2	1	"Girls"	12.5	1	64	0	4	"S"	"High"
"NAY7DC*"	326.5	1	0	3	4	6.67	6	6	6.22	"Digital"	31	2	14	2	36.5	2	2	"Boys"	13.75	5	65	0	4	"S"	"Intermediate"
"NIO7DC"	1078.92	0.5	2	3	5.5	4.33	1	5	3.44	"Digital"	60	3	17	1.75	40	2	1	"Girls"	13.58	1	66	0	4	"S"	"Intermediate"
"CNA7DC"	874.97	0.5	0	2	2.5	3.33	6	5	4.78	"Digital"	30	3	18	1	33.5	2	2	"Boys"	13.75	1	67	0	4	"S"	"Intermediate"
"GIU7DC"	573.05	0.5	0	0	0.5	6.33	8	9	7.78	"Digital"	46	2	12	1	34	2	1	"Boys"	13.42	6	68	0	4	"S"	"Low"
"GAU7DC"	368.7	0.5	2	6	8.5	5.33	2	2	3.11	"Digital"	59	3	17	0.75	31.5	1	1	"Girls"	13.08	1	69	0	4	"S"	"Intermediate"
"MAR7DC*"	706.63	0.5	1	2	3.5	5.33	5.5	8	6.28	"Digital"	26	2	10	1.25	35.5	3	1	"Boys"	13.42	1	70	0	4	"S"	"Low"
"DAU7DC"	270.91	0.5	0	1	1.5	5.33	9	3	5.78	"Digital"	42	0	2	0.63	25.5	2	2	"Girls"	13.25	1	71	0	4	"S"	"Low"
"GET7DC"	934.44	1	0	4	5	4.67	7	3	4.89	"Digital"	46	2	12	0.38	27.5	1	1	"Girls"	12.92	1	72	0	4	"S"	"Low"
"FOD8DC"	713.81	0.5	0	1	1.5	0.33	2	2	1.44	"Digital"	50	3	19	1.13	36.5	2	3	"Girls"	12.92	1	73	0	4	"S"	"High"
"DNR7DC"	316.61	0.5	1	3	4.5	8.33	2.5	7	5.94	"Digital"	48	2	14	0.75	36	2	1	"Girls"	13.5	1	74	0	4	"S"	"Intermediate"
"FRO7DC"	792.76	1.5	1	5	7.5	3	4.5	1	2.83	"Digital"	52	5	21	1.75	32	3	1	"Boys"	13.67	1	75	0	4	"S"	"High"
"AIU7DD"	884.5	0.5	1	5	6.5	6.33	5.5	4	5.28	"Digital"	28	0	18	2	38	3	1	"Girls"	13.75	1	76	0	5	"S"	"Intermediate"
"GGJ6DD"	913.54	0.5	0	4	4.5	6.33	10	3	6.44	"Digital"	57	0	12	1.13	26	3	1	"Boys"	14.08	3	77	0	5	"S"	"Low"
"SEM7DD"	1003.29	0.5	0	4	4.5	5.33	6	2	4.44	"Digital"	36	3	16	1.75	32.5	3	1	"Girls"	13.17	1	78	0	5	"S"	"Intermediate"
"GIL7DD"	890.04	0.5	0	2	2.5	3.33	6	3	4.11	"Digital"	43	3	19	1.5	35.5	2	1	"Boys"	13.17	1	79	0	5	"S"	"High"
"FRA7DD"	730.33	0.5	0	3	3.5	6.33	8	4	6.11	"Digital"	48	2	17	1.88	37.5	1	1	"Girls"	13.83	5	80	0	5	"S"	"Intermediate"
"PEI7DD*"	662.84	0.5	0	0	0.5	6.33	8	1	5.11	"Digital"	15	0	18	1.25	35	3	3	"Boys"	13.42	1	81	0	5	"S"	"Intermediate"
"SAN7DD*"	892.18	0.5	0	0	0.5	4.33	6	5	5.11	"Digital"	22	0	7	2.38	31.5	1	3	"Girls"	13.08	1	82	0	5	"S"	"Low"
"MOD6DD"	761.43	0.5	0	3	3.5	4.33	7	4	5.11	"Digital"	58	2	7	1.13	34.5	3	3	"Boys"	14.92	5	83	0	5	"S"	"Low"
"SNE7DD"	826.9	1.5	2	6	9.5	2	1	0	1	"Digital"	52	2	17	2	36	3	1	"Girls"	13.17	1	84	0	5	"S"	"Intermediate"
"ANF7DD"	980.74	0.5	0	2	2.5	4.33	5	6	5.11	"Digital"	54	1	13	1.38	37.5	3	1	"Girls"	13.33	5	85	0	5	"S"	"Intermediate"
"SLC7DD"	1020.16	1.5	0	6	7.5	5	9	2	5.33	"Digital"	47	2	16	1.25	34.5	2	1	"Boys"	13.58	1	86	0	5	"S"	"Intermediate"
"MAE7DD"	879.71	0.5	0	2	2.5	6.33	8	6	6.78	"Digital"	53	2	16	1.5	29.5	2	1	"Girls"	13.75	1	87	0	5	"S"	"Intermediate"
"DAB7DD"	987.99	0.5	1	0	1.5	6.33	5.5	10	7.28	"Digital"	37	2	15	0.5	33.5	1	1	"Boys"	12.92	1	88	0	5	"S"	"Intermediate"
"EAM7DD"	812.74	0.5	0	3	3.5	6.33	8	6	6.78	"Digital"	48	4	18	1.25	36	2	1	"Girls"	13	1	89	0	5	"S"	"Intermediate"
"AOL7DD"	717.56	2.5	0	3	5.5	-1.33	8	5	3.89	"Digital"	60	4	20	2.25	31.5	2	1	"Boys"	12.92	1	90	0	5	"S"	"High"
"SON7DD"	644.45	1	0	1	2	3.67	7	5	5.22	"Digital"	59	2	16	2.13	35.5	2	1	"Boys"	13.17	1	91	0	5	"S"	"Intermediate"
"MAB7DD"	907.27	1	0	3	4	1.67	4	6	3.89	"Digital"	41	2	16	1.5	29	2	2	"Girls"	13.33	1	92	0	5	"S"	"Intermediate"
"RAD7DD*"	398.03	0.5	1	2	3.5	5.33	4.5	-1	2.94	"Digital"	36	2	16	1.75	35.5	2	1	"Boys"	13.42	1	93	0	5	"S"	"Intermediate"
"HIM7DD*"	891.5	0.5	0	3	3.5	7.33	5	2	4.78	"Digital"	38	2	7	1.13	32	3	1	"Girls"	13.5	1	94	0	5	"S"	"Low"
"FIE7DD"	733.03	1	1	5	7	3.67	5.5	3	4.06	"Digital"	52	2	16	2.25	39.5	1	1	"Boys"	13.5	1	95	0	5	"S"	"Intermediate"
"RAR7DE"	466.81	1.5	0	3	4.5	1	8	6	5	"Digital"	60	3	18	1	36.5	2	1	"Girls"	13.83	1	96	0	6	"S"	"Intermediate"
"DCR7DE*"	827.02	0.5	1	2	3.5	6.33	4.5	7	5.94	"Digital"	37	2	6	1	25.5	2	1	"Girls"	13.08	1	97	0	6	"S"	"Low"
"SLO7DE"	321.67	1	0	3	4	4.67	8	4	5.56	"Digital"	42	2	15	1.38	26	2	1	"Boys"	13.5	1	98	0	6	"S"	"Intermediate"
"EMO7DE"	568.92	0.5	2	5	7.5	7.33	5	3	5.11	"Digital"	47	4	20	1.13	24	2	NA	"Boys"	13.42	1	99	0	6	"S"	"High"
"LLD8DE"	390.64	1.5	0	1	2.5	4	8	5	5.67	"Digital"	53	2	9	1.25	26.5	3	1	"Girls"	12.83	5	100	0	6	"S"	"Low"
"RML7DE"	364	0.5	0	0	0.5	5.33	6	6	5.78	"Digital"	17	2	4	0.25	24.5	NA	NA	"Boys"	13	1	101	0	6	"S"	"Low"
"JNX7DE"	423.74	0.5	0	2	2.5	-0.67	1	-1	-0.22	"Digital"	54	2	15	0.5	26	2	1	"Girls"	13	9	102	0	6	"S"	"Intermediate"
"GNA7DE*"	478.23	0.5	1	4	5.5	6.33	5.5	4	5.28	"Digital"	32	0	12	1.38	28.5	1	1	"Girls"	13.92	1	103	0	6	"S"	"Low"
"MIY7DE"	295.66	0.5	0	1	1.5	4.33	5	4	4.44	"Digital"	56	3	14	1.25	24	2	1	"Boys"	13.75	1	104	0	6	"S"	"Intermediate"
"FAL7DE"	619	0.5	1	2	3.5	5.33	6.5	6	5.94	"Digital"	54	2	20	0.88	21.5	3	3	"Boys"	13.25	1	105	0	6	"S"	"High"
"MIV7DE"	407.76	0.5	3	3	6.5	7.33	1.5	7	5.28	"Digital"	55	3	15	0.75	29.5	2	1	"Boys"	13.17	3	106	0	6	"S"	"Intermediate"
"GAR7DE"	568.22	0.5	1	3	4.5	4.33	3.5	5	4.28	"Digital"	47	2	17	1.5	37	1	1	"Girls"	13.42	1	107	0	6	"S"	"Intermediate"
"BRA7DE"	295.9	0.5	1	2	3.5	0.33	-1.5	3	0.61	"Digital"	36	3	17	1.25	33.5	2	1	"Girls"	13.75	5	108	0	6	"S"	"Intermediate"
"AII7DE"	756.76	0.5	0	1	1.5	7.33	6	8	7.11	"Digital"	33	2	18	2.13	38.5	1	1	"Girls"	13.75	1	109	0	6	"S"	"Intermediate"
"PHR7DE*"	361.04	0	0	0	0	7	4	3	4.67	"Digital"	45	2	9	0.13	24	2	1	"Boys"	13.08	1	110	0	6	"S"	"Low"
"GAC6DE"	424.01	0.5	0	0	0.5	0.33	1	5	2.11	"Digital"	34	2	12	0.88	23	1	3	"Girls"	14	2	111	0	6	"S"	"Low"
"MTT7DE"	774.22	1.5	1	1	3.5	2	2.5	5	3.17	"Digital"	33	2	15	1.13	28.5	2	2	"Boys"	13	1	112	0	6	"S"	"Intermediate"
"MEE7DE"	129.14	0.5	1	0	1.5	6.33	4.5	8	6.28	"Digital"	44	2	12	1	28.5	1	1	"Boys"	13.75	1	113	0	6	"S"	"Low"
"WLA7DE"	281.97	0.5	0	1	1.5	1.33	4	6	3.78	"Digital"	57	0	7	2.13	28.5	2	1	"Boys"	13	1	114	0	6	"S"	"Low"
"AAY7DE"	502.49	1	0	1	2	3.67	9	4	5.56	"Digital"	35	3	9	0.75	29.5	3	3	"Girls"	13.17	7	115	0	6	"S"	"Low"
"ALR7DE"	331.41	0.5	0	4	4.5	4.33	9	4	5.78	"Digital"	39	2	17	1.75	33.5	2	1	"Girls"	13.67	1	116	0	6	"S"	"Intermediate"
"MAH7PA*"	279.21	0.5	0	2	2.5	3.33	5	3	3.78	"Digital"	31	2	9	0.38	36	2	1	"Boys"	14.33	1	117	0	7	"P"	"Low"
"MIO7PA"	563.02	0.5	2	4	6.5	5.33	3	4	4.11	"Digital"	53	2	13	1.13	36.5	1	2	"Girls"	13.67	1	118	0	7	"P"	"Intermediate"
"NHM7PA"	657.67	1	0	2	3	4.67	4	6	4.89	"Digital"	53	2	14	0.88	34.5	2	1	"Girls"	13.5	1	119	0	7	"P"	"Intermediate"
"MLR7PA"	463.71	0.5	0	0	0.5	6.33	7	7	6.78	"Digital"	57	3	14	0.75	33	1	NA	"Boys"	13.83	1	120	0	7	"P"	"Intermediate"
"UOF7PA"	781.94	2	2	5	9	1.33	2	2	1.78	"Digital"	40	2	19	2	37.5	2	NA	"Girls"	13.67	1	121	0	7	"P"	"High"
"MIT7PA"	507.12	1.5	1	6	8.5	3	5.5	1	3.17	"Digital"	60	3	18	1.13	31	1	1	"Girls"	14	1	122	0	7	"P"	"Intermediate"
"CAS7PA"	292.32	1.5	0	2	3.5	1	3	4	2.67	"Digital"	59	2	13	0.38	32	1	2	"Girls"	13.83	6	123	0	7	"P"	"Intermediate"
"FOB7PA"	277.98	1.5	1	4	6.5	3	5.5	6	4.83	"Digital"	27	4	15	1.13	32.5	2	2	"Boys"	13.67	1	124	0	7	"P"	"Intermediate"
"EOL6PA"	741.96	1.5	1	6	8.5	2	5.5	0	2.5	"Digital"	60	3	18	1.5	34	2	1	"Girls"	14.5	7	125	0	7	"P"	"Intermediate"
"GIS7PA"	819.87	2.5	1	6	9.5	-0.33	5.5	3	2.72	"Digital"	42	3	18	1.88	38	2	1	"Girls"	13.75	1	126	0	7	"P"	"Intermediate"
"YLS6CA"	205.39	0.5	0	0	0.5	8.33	10	2	6.78	"Digital"	39	0	7	0.63	24.5	2	1	"Boys"	14.33	8	127	0	7	"P"	"Low"
"MIL7PA"	659.84	1.5	0	4	5.5	2	6	4	4	"Digital"	37	2	16	1.5	37	1	1	"Girls"	13.67	1	128	0	7	"P"	"Intermediate"
"KOB7PA"	608.84	0.5	2	1	3.5	-0.67	-3	6	0.78	"Digital"	60	3	12	1.25	32	1	2	"Girls"	13.83	5	129	0	7	"P"	"Low"
"DLE7PA"	339.89	2	0	1	3	-0.67	4	6	3.11	"Digital"	51	2	20	1	38.5	1	1	"Girls"	13.83	1	130	0	7	"P"	"High"
"COC7PA"	205.15	0.5	2	2	4.5	2.33	1	2	1.78	"Digital"	59	4	15	0.75	38.5	1	1	"Girls"	14.17	1	131	0	7	"P"	"Intermediate"
"REV7PA"	260.79	0.5	0	2	2.5	3.33	5	-1	2.44	"Digital"	60	4	17	1	26.5	2	2	"Boys"	14	1	132	0	7	"P"	"Intermediate"
"MAA7PA"	674.44	1.5	0	5	6.5	3	8	4	5	"Digital"	40	2	20	1.5	29.5	3	3	"Girls"	14	1	133	0	7	"P"	"High"
"JRT7PA"	672.11	1.5	1	3	5.5	3	4.5	3	3.5	"Digital"	33	2	17	0.5	16	2	2	"Girls"	13.5	4	134	0	7	"P"	"Intermediate"
"MAD7PA"	564.48	1	0	0	1	2.67	1	7	3.56	"Digital"	42	3	16	0.63	27.5	3	1	"Girls"	13.75	1	135	0	7	"P"	"Intermediate"
"AOE7PC"	295.18	1.5	2	1	4.5	3	3	6	4	"Digital"	39	4	21	2.5	36	2	2	"Girls"	14.33	1	136	0	8	"P"	"High"
"IAI8PC*"	193.98	0.5	1	0	1.5	7.33	5.5	4	5.61	"Digital"	33	2	12	0.88	21.5	2	2	"Girls"	13.42	6	137	0	8	"P"	"Low"
"GAR7PC"	446.81	1	2	3	6	2.67	0	2	1.56	"Digital"	60	2	17	1.38	28.5	2	1	"Girls"	13.42	1	138	0	8	"P"	"Intermediate"
"RAU7PC*"	398.44	0.5	0	0	0.5	1.33	4	7	4.11	"Digital"	52	2	4	0.13	24.5	2	1	"Girls"	14.17	1	139	0	8	"P"	"Low"
"MEM7PC"	443.3	0.5	0	1	1.5	5.33	6	1	4.11	"Digital"	34	2	3	0.13	23.5	2	1	"Boys"	13.83	1	140	0	8	"P"	"Low"
"AEO8PC"	391.16	0.5	0	1	1.5	8.33	6	5	6.44	"Digital"	52	2	14	1.13	35	3	1	"Boys"	13.42	1	141	0	8	"P"	"Intermediate"
"GRM7PC*"	388.53	0.5	0	1	1.5	4.33	6	0	3.44	"Digital"	55	2	15	0.38	21.5	2	3	"Boys"	14.17	1	142	0	8	"P"	"Intermediate"
"RAA7PC*"	456.12	0.5	0	0	0.5	3.33	8	6	5.78	"Digital"	54	2	11	1.25	31.5	2	1	"Girls"	14.08	1	143	0	8	"P"	"Low"
"AEM7PC"	342.88	0.5	0	4	4.5	4.33	7	1	4.11	"Digital"	49	2	12	0.38	27.5	1	1	"Girls"	14.08	1	144	0	8	"P"	"Low"
"AAR7PC"	516.09	0.5	0	2	2.5	2.33	5	4	3.78	"Digital"	39	2	19	0.75	27	3	2	"Boys"	13.92	1	145	0	8	"P"	"High"
"HII7PC"	380.19	0.5	0	5	5.5	5.33	7	5	5.78	"Digital"	60	3	17	1.25	34.5	2	1	"Girls"	13.42	1	146	0	8	"P"	"Intermediate"
"LRI7PC*"	540.77	0.5	0	0	0.5	6.33	7	7	6.78	"Digital"	30	0	9	0.75	30.5	3	3	"Girls"	14.33	1	147	0	8	"P"	"Low"
"LAI7PC*"	391.01	0.5	0	0	0.5	2.33	5	7	4.78	"Digital"	53	2	13	0.25	35.5	3	1	"Boys"	14.17	1	148	0	8	"P"	"Intermediate"
"AIR7PC"	475.79	0.5	1	6	7.5	5.33	3.5	-1	2.61	"Digital"	52	2	19	2.5	28.5	2	1	"Boys"	13.83	1	149	0	8	"P"	"High"
"AET7PC"	68.7	0.5	0	0	0.5	6.33	5	5	5.44	"Digital"	52	2	9	0.75	23	2	1	"Boys"	13.42	1	150	0	8	"P"	"Low"
